model,sttl,ct_state_ttl,sbytes,dttl,smeansz,dmeansz,service,ct_dst_sport_ltm,ct_dst_src_ltm,ct_srv_dst,Dload,ct_srv_src,proto,ct_src_dport_ltm,state,tcprtt,synack,Sload,swin,ct_dst_ltm,dwin,dur,ackdat,ct_src_ ltm,dbytes,Dpkts,stcpb,Dintpkt,dtcpb,ct_ftp_cmd,Sjit,Sintpkt,Spkts,dloss,Djit,sloss,ct_flw_http_mthd,res_bdy_len,trans_depth,is_ftp_login,is_sm_ips_ports,f1_score
rforest_0_vanilla,0.09514131504195979,0.053832774023619044,0.1733066043417263,0.004080658552469327,0.09376484749790812,0.028212775822717667,0.05440539266314418,0.024059334955660587,0.05077874618828189,0.04569018929337225,0.016727299406051135,0.020661299689659372,0.035181641495726626,0.03065278334739278,0.0007458483674190146,0.00928673407197181,0.013259161533889077,0.024497114069337106,0.00016338211322048814,0.008206112015353722,0.0003571161594327044,0.012929117937658314,0.007887661371128436,0.014722359689939277,0.03112168009161038,0.006528177640667197,0.007489536635355597,0.009829578999598253,0.006821846672672311,0.006658624420452022,0.015796275356747977,0.01984923577240845,0.012601619649044375,0.011739886066425596,0.00793541766735336,0.0145940578331431,0.013270359455450862,0.00872390735276255,0.008441546933510497,2.603715143504502e-05,2.19426523234086e-05,0.606495
rforest_1_vanilla,0.09423378965485114,0.05523939646993522,0.1690696650014254,0.004215118998182916,0.09269578787232009,0.029489580192410745,0.05453465384514421,0.025412013248888574,0.04960262874876114,0.04651068425547641,0.01652157763211147,0.023683589251618592,0.034787898018828665,0.029771901486317694,0.0006722100625957469,0.009570055088450605,0.012150464970918816,0.026431043862567467,0.0001290447243766437,0.009687785035457289,0.0003078402675870602,0.013463728212280122,0.007907902667580641,0.014752365266493372,0.03095134807530055,0.0064363493432913026,0.007468967065020684,0.00948270451966684,0.0073207728690092835,0.00670867500799221,0.01513884193552608,0.02142884818005425,0.012503256441526117,0.010914668126879981,0.008253687802485522,0.011794104671461256,0.012720082574435855,0.00869608408282539,0.009280443632201608,3.871923278041285e-05,2.172160496268355e-05,0.611058
rforest_2_vanilla,0.10310912613903658,0.0460982500062873,0.1718972777912223,0.0035980880948673945,0.09599457793932048,0.02792376025153199,0.05525351750039433,0.03287239464086676,0.04772903139611922,0.0468422522359372,0.01616010892282169,0.023165284517477427,0.034609191837581224,0.024735677841860388,0.0010505144928800213,0.008953228009115417,0.01262330236709759,0.025690433721570375,0.00013324451573009866,0.007816927774503461,0.00014632696398090544,0.013541982369800887,0.007915357140298037,0.015705589731990814,0.03163792623366207,0.00713564274454993,0.007043108373767489,0.009173890951081695,0.007570166812712167,0.00618139276830944,0.01511435622023453,0.02052541208599831,0.011828130566630927,0.012302464489279569,0.008143816943999408,0.012823757792737752,0.011644599801681104,0.007854871319741741,0.007366255398803684,6.390152740827758e-05,2.4859767110025025e-05,0.607843
rforest_3_vanilla,0.09316526307966101,0.05234230249303093,0.16796521421680613,0.004179936546436867,0.09213413954508078,0.027862818939583728,0.05360007292504155,0.02916703985428831,0.05677952815988621,0.046250039591111805,0.018272058066519457,0.020618137152631066,0.03360905208344186,0.026883936932472485,0.0007835630579081651,0.010912201924952427,0.011774995758752509,0.025272288737650504,0.0004576343059010352,0.009070684787763642,0.0003610720418177961,0.01444345924538946,0.007876689257912994,0.015296455265582253,0.03276157183803051,0.006358691268636835,0.00782520666061337,0.008564170910694663,0.007923680609324857,0.007028129679456909,0.014920451799053753,0.021589179817545337,0.01100847261228521,0.012370349728853902,0.007999443985504359,0.011805029258385747,0.012171001096811082,0.008864988041657699,0.009671190356925605,3.276897735875322e-05,2.7089389238468826e-05,0.610777
rforest_4_vanilla,0.11103620644483436,0.041289801689126326,0.17648671033492852,0.0030613084451587024,0.09203018503343335,0.03192223985549423,0.055626466670506254,0.02501373191805787,0.04912025543594788,0.04509848075856443,0.015725233022140087,0.022838740363769268,0.034982356501010836,0.028700048238845255,0.0008209456549578111,0.010316333707542988,0.012993341740521155,0.02475405479119002,0.00027051227862927996,0.009371538558586596,0.00027404795094107315,0.013062766568777931,0.007684823234390784,0.015202393863960932,0.030796750961498715,0.006501989186040259,0.006896143381937286,0.009015660377082322,0.007615812163433823,0.00665168294191218,0.014997092937394632,0.020235611506229982,0.011084625745248341,0.011851851901061495,0.008144415111679381,0.012600282309917856,0.00962523966382442,0.006407078189700718,0.009837431624687922,3.1603829001176796e-05,2.420510803360146e-05,0.607164
etrees_0_vanilla,0.1060873806437396,0.05595434281180268,0.04371221206190597,0.0519972544303542,0.14647435445921556,0.025545420047350116,0.098090530523777,0.032719292334981914,0.03915632371750678,0.05481076020518389,0.010905531162748323,0.04058068982995314,0.0320437502198732,0.04270841132843486,0.002142379832515792,0.007410652094580277,0.007737138122274968,0.022624304933639452,0.0019229581841040235,0.009811859329712198,0.012809895931348708,0.013192436501925258,0.006162910574011995,0.013277963182327795,0.010061318176718995,0.009831257859140212,0.007042673341410235,0.0056748784454939,0.007271077992988534,0.01102260068079372,0.008577013740303485,0.01181263904699168,0.007012341860554389,0.013200309550513902,0.005182116897130107,0.0061227588210439445,0.007222889264166746,0.003746401899063864,0.008139115390391161,9.779635592377996e-05,0.00010405821410366981,0.598014
etrees_1_vanilla,0.10043307930821718,0.061927949585679105,0.047712279262914006,0.05358924757690644,0.14222649244818447,0.02524529985270784,0.10186061666004735,0.03434591028142298,0.046192403516594274,0.051746245908790685,0.011083580158908252,0.038888842825888004,0.03210456600966729,0.02699320331764923,0.003725636844563431,0.007207981658814485,0.007302151455661878,0.022536495944856086,0.0020940437143966784,0.0160177141130408,0.013914307240544582,0.012748109044162483,0.006874913586922764,0.01304093435857917,0.011333792335401917,0.009348747006543458,0.006908248339191564,0.00649799586736406,0.00715287438148057,0.011138350127170005,0.008588527587902826,0.01196831666845165,0.006212197943794451,0.01180458711528196,0.0048802982740157935,0.005992488204974308,0.007152956622663486,0.0034154008544913157,0.007484843921559115,0.0001749297099372451,0.00013344036465691306,0.596334
etrees_2_vanilla,0.10842069211253157,0.05132963309920521,0.047782629429177714,0.053236349543803664,0.1402360108747764,0.024819067108694436,0.10207107943039512,0.03291114402454061,0.039632025480787744,0.060249383566329716,0.011240743795626099,0.039136757919351145,0.03084758481367082,0.03663166703956867,0.0023165985428488154,0.007219460079953419,0.00800684202148963,0.022673310183330266,0.0021653439953060417,0.011825299887073171,0.013784381695890153,0.012804860686340224,0.006284907179993976,0.01298549469545616,0.010455149806763629,0.010431499724506388,0.006910483147461682,0.006138103648535316,0.007395824717940546,0.011355787379495148,0.008680242964201043,0.012371287957172157,0.007025851329467888,0.011742738277364174,0.005000452934247714,0.006252417216664838,0.006980051586152079,0.0037218158991999743,0.006703366071924575,0.00012666086817921438,9.699926458265701e-05,0.597855
etrees_3_vanilla,0.1005839605652885,0.05530560033132848,0.04679858638162666,0.05890891594408353,0.14414147315076994,0.026274316858681295,0.09370373656697711,0.03293947006477701,0.044317070318772425,0.056074273800565934,0.010904349253170888,0.04128540343943505,0.03338713052638844,0.03124107893650094,0.0023687131475413677,0.00730017456267811,0.007510877099134876,0.021072437114335162,0.0026131397267552207,0.010665665315480697,0.017078739010597616,0.012506486337400705,0.006138828715294395,0.013812956308535466,0.011745939380049997,0.010356016448305864,0.0068425003274227994,0.005755821354422058,0.007271533394758819,0.011952464662247923,0.008556394574692332,0.011641895516698902,0.006294797614660973,0.012810267693603614,0.005087403906528188,0.005745997199657203,0.008110367292926706,0.0037227443065056655,0.006915083000882986,0.00014633591269522264,0.00011105393782091131,0.595862
etrees_4_vanilla,0.10048219527693202,0.05318247295122728,0.04564577092045847,0.06093444534024338,0.1434450189967964,0.02415089757321828,0.09946504665123906,0.040572176992640714,0.04162201240064493,0.05323017282513089,0.011103254665518375,0.03489152974387001,0.034043154024782425,0.03287267331480302,0.0026124234634074444,0.007593120845129259,0.007660376811815831,0.02230902833020262,0.0021716012308219523,0.012075155976440755,0.013167107879848382,0.013265148896707959,0.006275705089033609,0.013289198650840701,0.011264644269337164,0.00936126957715523,0.006984893659610834,0.005467190023340376,0.007372838571377152,0.011173711506338141,0.008580824234349832,0.011991734166636838,0.0066948312391115206,0.012864907606753897,0.005239972975573109,0.0065371007422178815,0.008897141009382385,0.003385420228128973,0.007878901583557599,0.00012465107929497422,0.00012027867608040092,0.595627
